List,world,type
Sublist 7,transport,v
Sublist 7,typical,adj
Sublist 7,uncertainty,n
Sublist 7,undergo,v
Sublist 7,unique,adj
Sublist 7,universal,adj
Sublist 7,validity,n
Sublist 7,visual,adj
Sublist 7,working,adj
Sublist 7,working,n
Sublist 7,yield,n
Sublist 7,yield,v
Sublist 8,absolute,adj
Sublist 8,academic,adj
Sublist 8,academic,n
Sublist 8,adapt,v
Sublist 8,adequate,adj
Sublist 8,agricultural,adj
Sublist 8,anxiety,n
Sublist 8,apparent,adj
Sublist 8,arrangement,n
Sublist 8,background,n
Sublist 8,beyond,prep
Sublist 8,burden,n
Sublist 8,causal,adj
Sublist 8,centre,n
Sublist 8,centre,v
Sublist 8,classification,n
Sublist 8,classify,v
Sublist 8,column,n
Sublist 8,compete,v
Sublist 8,comprehensive,adj
Sublist 8,comprise,v
Sublist 8,confirm,v
Sublist 8,connect,v
Sublist 8,consensus,n
Sublist 8,consent,n
Sublist 8,correct,adj
Sublist 8,creation,n
Sublist 8,currently,adv
Sublist 8,desire,n
Sublist 8,desire,v
Sublist 8,discipline,n
Sublist 8,distribute,v
Sublist 8,document,n
Sublist 8,document,v
Sublist 8,dominate,v
Sublist 8,during,prep
Sublist 8,efficient,adj
Sublist 8,eliminate,v
Sublist 8,emotional,adj
Sublist 8,engage,v
Sublist 8,equally,adv
Sublist 8,exceed,v
Sublist 8,excess,n
Sublist 8,explain,v
Sublist 8,govern,v
Sublist 8,identical,adj
Sublist 8,introduction,n
Sublist 8,involvement,n
Sublist 8,isolated,adj
Sublist 8,latter,n
Sublist 8,line,n
Sublist 8,list,n
Sublist 8,list,v
Sublist 8,maximize,v
Sublist 8,medium,n
Sublist 8,member,n
Sublist 8,minimize,v
Sublist 8,minimum,adj
Sublist 8,minimum,n
Sublist 8,nevertheless,adv
Sublist 8,normal,adj
Sublist 8,organize,v
Sublist 8,outline,v
Sublist 8,partial,adj
Sublist 8,permit,v
Sublist 8,personal,adj
Sublist 8,practical,adj
Sublist 8,practitioner,n
Sublist 8,priority,n
Sublist 8,promote,v
Sublist 8,promotion,n
Sublist 8,quantitative,adj
Sublist 8,random,adj
Sublist 8,reason,n
Sublist 8,reasoning,n
Sublist 8,reject,v
Sublist 8,responsible,adj
Sublist 8,reveal,v
Sublist 8,root,n
Sublist 8,sampling,n
Sublist 8,satisfy,v
Sublist 8,scheme,n
Sublist 8,separate,adj
Sublist 8,separate,v
Sublist 8,separation,n
Sublist 8,shape,n
Sublist 8,shape,v
Sublist 8,similarity,n
Sublist 8,simply,adv
Sublist 8,so-called,adj
Sublist 8,solve,v
Sublist 8,substance,n
Sublist 8,sum,n
Sublist 8,sustain,v
Sublist 8,technical,adj
Sublist 8,tendency,n
Sublist 8,transform,v
Sublist 8,transmission,n
Sublist 8,transmit,v
Sublist 8,ultimately,adv
Sublist 8,utility,n
Sublist 8,utilize,v
Sublist 8,variance,n
Sublist 8,version,n
Sublist 8,website,n
Sublist 8,weight,n
Sublist 8,whole,n
Sublist 8,widely,adv
Sublist 9,acceptable,adj
Sublist 9,acceptance,n
Sublist 9,accuracy,n
Sublist 9,accurate,adj
Sublist 9,active,adj
Sublist 9,addition,n
Sublist 9,adjust,v
Sublist 9,adjustment,n
Sublist 9,agenda,n
Sublist 9,avoid,v
Sublist 9,cite,v
Sublist 9,classical,adj
Sublist 9,commit,v
Sublist 9,communicate,v
Sublist 9,comparable,adj
Sublist 9,comparative,adj
Sublist 9,conceptual,adj
Sublist 9,connection,n
Sublist 9,considerable,adj
Sublist 9,contact,n
Sublist 9,coverage,n
Sublist 9,deal,v
Sublist 9,denote,v
Sublist 9,determinant,n
Sublist 9,differentiate,v
Sublist 9,differentiation,n
Sublist 9,digital,adj
Sublist 9,distance,n
Sublist 9,division,n
Sublist 9,ecological,adj
Sublist 9,emergence,n
Sublist 9,ethic,n
Sublist 9,expect,v
Sublist 9,expert,adj
Sublist 9,expert,n
Sublist 9,explicit,adj
Sublist 9,explicitly,adj
Sublist 9,extension,n
Sublist 9,extensive,adj
Sublist 9,extreme,adj
Sublist 9,extreme,n
Sublist 9,fail,v
Sublist 9,flexibility,n
Sublist 9,flexible,adj
Sublist 9,fully,adv
Sublist 9,fund,n
Sublist 9,fund,v
Sublist 9,funding,n
Sublist 9,ideal,adj
Sublist 9,ideal,n
Sublist 9,immediate,adj
Sublist 9,inclusion,n
Sublist 9,indirect,adj
Sublist 9,initially,adv
Sublist 9,initiate,v
Sublist 9,initiative,n
Sublist 9,instruction,n
Sublist 9,intention,n
Sublist 9,label,n
Sublist 9,label,v
Sublist 9,leadership,n
Sublist 9,margin,n
Sublist 9,matter,n
Sublist 9,methodology,n
Sublist 9,mix,v
Sublist 9,mobility,n
Sublist 9,net,adj
Sublist 9,ongoing,adj
Sublist 9,optimal,adj
Sublist 9,ordinary,adj
Sublist 9,parallel,adj
Sublist 9,parallel,n
Sublist 9,precise,adj
Sublist 9,precisely,adv
Sublist 9,prediction,n
Sublist 9,progress,n
Sublist 9,proposition,n
Sublist 9,protect,v
Sublist 9,race,n
Sublist 9,recommend,v
Sublist 9,record,n
Sublist 9,record,v
Sublist 9,replace,v
Sublist 9,resolution,n
Sublist 9,resolve,v
Sublist 9,review,n
Sublist 9,safety,n
Sublist 9,scientific,adj
Sublist 9,series,n
Sublist 9,specialist,n
Sublist 9,statistic,n
Sublist 9,statistically,adv
Sublist 9,store,v
Sublist 9,strongly,adv
Sublist 9,substantial,adj
Sublist 9,substantially,adv
Sublist 9,successful,adj
Sublist 9,suitable,adj
Sublist 9,summary,n
Sublist 9,threat,n
Sublist 9,threshold,n
Sublist 9,unlikely,adj
Sublist 9,valid,adj
Sublist 9,versus,prep
Sublist 9,vertical,adj
Sublist 9,volume,n
Sublist 9,widespread,adj
