S,Word,Wor/Phr,Type,British phonetics,5916,LV,700,1334,800,260,412,20465
4884,civic,W,adj,ˈsɪvɪk,5916,C1,,,,,,20465
4885,civilian,W,adj,səˈvɪljən / sɪˈvɪljən,5916,C1,,,,,,20465
4886,civilian,W,n,səˈvɪljən / sɪˈvɪljən,5916,C1,,,,,,20465
4887,clarity,W,n,ˈklærɪti,5916,C1,,,,,,20465
4888,clash,W,n,klæʃ,5916,C1,,,,,,20465
4889,cling,W,v,klɪŋ,5916,C1,,,,,,20465
4890,clinical,W,adj,ˈklɪnɪkəl,5916,C1,,,,,,20465
4891,closure,W,n,ˈkləʊʒə,5916,C1,,,,,,20465
4892,cluster,W,n,ˈklʌstə,5916,C1,,,,,,20465
4893,coalition,W,n,ˌkəʊəˈlɪʃən,5916,C1,,,,,,20465
4894,coastal,W,adj,ˈkəʊstəl,5916,C1,,,,,,20465
4895,cocktail,W,n,ˈkɒkteɪl,5916,C1,,,,,,20465
4896,cognitive,W,adj,ˈkɒgnɪtɪv,5916,C1,,,,,,20465
4897,collaborate,W,v,kəˈlæbəreɪt,5916,C1,,,,,,20465
4898,collaboration,W,n,kəˌlæbəˈreɪʃən,5916,C1,,,,,,20465
4899,collective,W,adj,kɒˈlɛktɪv,5916,C1,,,,,,20465
4900,collision,W,n,kəˈlɪʒən,5916,C1,,,,,,20465
4901,colonial,W,adj,kəˈləʊniəl,5916,C1,,,,,,20465
4902,columnist,W,n,ˈkɒləmnɪst,5916,C1,,,,,,20465
4903,combat,W,n,ˈkɒmbæt / ˈkɒmbət / kəmˈbæt,5916,C1,,,,,,20465
4904,combat,W,v,ˈkɒmbæt / ˈkɒmbət / kəmˈbæt,5916,C1,,,,,,20465
4905,commence,W,v,kəˈmɛns,5916,C1,,,,,,20465
4906,commentary,W,n,ˈkɒməntəri,5916,C1,,,,,,20465
4907,commentator,W,n,ˈkɒmɛnteɪtə,5916,C1,,,,,,20465
4908,commerce,W,n,ˈkɒmə(ː)s,5916,C1,,,,,,20465
4909,commissioner,W,n,kəˈmɪʃnə,5916,C1,,,,,,20465
4910,commodity,W,n,kəˈmɒdɪti,5916,C1,,,,,,20465
4911,communist,W,adj,ˈkɒmjʊnɪst,5916,C1,,,,,,20465
4912,companion,W,n,kəmˈpænjən,5916,C1,,,,,,20465
4913,compassion,W,n,kəmˈpæʃən,5916,C1,,,,,,20465
4914,compel,W,v,kəmˈpɛl,5916,C1,,,,,,20465
4915,compelling,W,adj,kəmˈpɛlɪŋ,5916,C1,,,,,,20465
4916,compensate,W,v,ˈkɒmpɛnseɪt,5916,C1,,,,,,20465
4917,compensation,W,n,ˌkɒmpɛnˈseɪʃən,5916,C1,,,,,,20465
4918,competence,W,n,ˈkɒmpɪtəns,5916,C1,,,,,,20465
4919,competent,W,adj,ˈkɒmpɪtənt,5916,C1,,,,,,20465
4920,compile,W,v,kəmˈpaɪl,5916,C1,,,,,,20465
4921,complement,W,v,ˈkɒmplɪmənt / ˈkɒmplɪmɛnt,5916,C1,,,,,,20465
4922,compliance,W,n,kəmˈplaɪəns,5916,C1,,,,,,20465
4923,complication,W,n,ˌkɒmplɪˈkeɪʃən,5916,C1,,,,,,20465
4924,comply,W,v,kəmˈplaɪ,5916,C1,,,,,,20465
4925,compromise,W,n,ˈkɒmprəmaɪz,5916,C1,,,,,,20465
4926,compromise,W,v,ˈkɒmprəmaɪz,5916,C1,,,,,,20465
4927,compute,W,v,kəmˈpjuːt,5916,C1,,,,,,20465
4928,conceal,W,v,kənˈsiːl,5916,C1,,,,,,20465
4929,concede,W,v,kənˈsiːd,5916,C1,,,,,,20465
4930,concession,W,n,kənˈsɛʃən,5916,C1,,,,,,20465
4931,condemn,W,v,kənˈdɛm,5916,C1,,,,,,20465
4932,confer,W,v,kənˈfɜː,5916,C1,,,,,,20465
4933,confession,W,n,kənˈfɛʃən,5916,C1,,,,,,20465
4934,configuration,W,n,kənˌfɪgjʊˈreɪʃən,5916,C1,,,,,,20465
4935,confirmation,W,n,ˌkɒnfəˈmeɪʃən,5916,C1,,,,,,20465
4936,confront,W,v,kənˈfrʌnt,5916,C1,,,,,,20465
4937,confrontation,W,n,ˌkɒnfrʌnˈteɪʃən,5916,C1,,,,,,20465
4938,congregation,W,n,ˌkɒŋgrɪˈgeɪʃən,5916,C1,,,,,,20465
4939,congressional,W,adj,kɒŋˈgrɛʃənl,5916,C1,,,,,,20465
4940,conquer,W,v,ˈkɒŋkə,5916,C1,,,,,,20465
4941,conscience,W,n,ˈkɒnʃəns,5916,C1,,,,,,20465
4942,consciousness,W,n,ˈkɒnʃəsnɪs,5916,C1,,,,,,20465
4943,consecutive,W,adj,kənˈsɛkjʊtɪv,5916,C1,,,,,,20465
4944,consolidate,W,v,kənˈsɒlɪdeɪt,5916,C1,,,,,,20465
4945,constituency,W,n,kənˈstɪtjʊənsi,5916,C1,,,,,,20465
4946,constitution,W,n,ˌkɒnstɪˈtjuːʃən,5916,C1,,,,,,20465
4947,constitutional,W,adj,ˌkɒnstɪˈtjuːʃənl,5916,C1,,,,,,20465
4948,consultation,W,n,ˌkɒnsəlˈteɪʃən,5916,C1,,,,,,20465
4949,contend,W,v,kənˈtɛnd,5916,C1,,,,,,20465
4950,contender,W,n,kənˈtɛndə,5916,C1,,,,,,20465
4951,content,W,adj,ˈkɒntɛnt / kənˈtɛnt,5916,C1,,,,,,20465
4952,contention,W,n,kənˈtɛnʃən,5916,C1,,,,,,20465
4953,contractor,W,n,kənˈtræktə,5916,C1,,,,,,20465
4954,contradiction,W,n,ˌkɒntrəˈdɪkʃən,5916,C1,,,,,,20465
4955,contrary,W,adj,ˈkɒntrəri / kənˈtreəri,5916,C1,,,,,,20465
4956,contrary,W,n,ˈkɒntrəri / kənˈtreəri,5916,C1,,,,,,20465
4957,contributor,W,n,kənˈtrɪbjʊtə,5916,C1,,,,,,20465
4958,convict,W,v,ˈkɒnvɪkt / kənˈvɪkt,5916,C1,,,,,,20465
4959,conviction,W,n,kənˈvɪkʃən,5916,C1,,,,,,20465
4960,coordinator,W,n,kəʊˈɔːdɪneɪtə,5916,C1,,,,,,20465
4961,cop,W,n,kɒp,5916,C1,,,,,,20465
4962,copper,W,n,ˈkɒpə,5916,C1,,,,,,20465
4963,copyright,W,n,ˈkɒpɪraɪt,5916,C1,,,,,,20465
4964,correspondence,W,n,ˌkɒrɪsˈpɒndəns,5916,C1,,,,,,20465
4965,correspondent,W,n,ˌkɒrɪsˈpɒndənt,5916,C1,,,,,,20465
4966,corrupt,W,adj,kəˈrʌpt,5916,C1,,,,,,20465
4967,corruption,W,n,kəˈrʌpʃən,5916,C1,,,,,,20465
4968,costly,W,adj,ˈkɒstli,5916,C1,,,,,,20465
4969,councillor,W,n,ˈkaʊns(ə)lə,5916,C1,,,,,,20465
4970,counselling,W,n,ˈkaʊns(ə)lɪŋ,5916,C1,,,,,,20465
4971,counsellor,W,n,ˈkaʊns(ə)lə,5916,C1,,,,,,20465
4972,counter,W,v,ˈkaʊntə,5916,C1,,,,,,20465
4973,counterpart,W,n,ˈkaʊntəpɑːt,5916,C1,,,,,,20465
4974,countless,W,adj,ˈkaʊntlɪs,5916,C1,,,,,,20465
4975,coup,W,n,kuː,5916,C1,,,,,,20465
4976,courtesy,W,n,ˈkɜːtɪsi,5916,C1,,,,,,20465
4977,craft,W,v,krɑːft,5916,C1,,,,,,20465
4978,crawl,W,v,krɔːl,5916,C1,,,,,,20465
4979,creator,W,n,kri(ː)ˈeɪtə,5916,C1,,,,,,20465
4980,credibility,W,n,ˌkrədɪˈbɪlɪti,5916,C1,,,,,,20465
4981,critique,W,n,krɪˈtiːk,5916,C1,,,,,,20465
4982,crown,W,n,kraʊn,5916,C1,,,,,,20465
4983,crude,W,adj,kruːd,5916,C1,,,,,,20465
4984,crush,W,v,krʌʃ,5916,C1,,,,,,20465
4985,crystal,W,n,ˈkrɪstl,5916,C1,,,,,,20465
4986,cult,W,n,kʌlt,5916,C1,,,,,,20465
4987,cultivate,W,v,ˈkʌltɪveɪt,5916,C1,,,,,,20465
4988,curiosity,W,n,ˌkjʊərɪˈɒsɪti,5916,C1,,,,,,20465
4989,custody,W,n,ˈkʌstədi,5916,C1,,,,,,20465
4990,cutting,W,n,ˈkʌtɪŋ,5916,C1,,,,,,20465
4991,dam,W,n,dæm,5916,C1,,,,,,20465
4992,damaging,W,adj,ˈdæmɪʤɪŋ,5916,C1,,,,,,20465
4993,debris,W,n,ˈdeɪbriː,5916,C1,,,,,,20465
4994,debut,W,n,ˈdeɪbuː,5916,C1,,,,,,20465
4995,decisive,W,adj,dɪˈsaɪsɪv,5916,C1,,,,,,20465
4996,declaration,W,n,ˌdɛkləˈreɪʃən,5916,C1,,,,,,20465
4997,dedicated,W,adj,ˈdɛdɪkeɪtɪd,5916,C1,,,,,,20465
4998,dedication,W,n,ˌdɛdɪˈkeɪʃən,5916,C1,,,,,,20465
4999,deed,W,n,diːd,5916,C1,,,,,,20465
5000,deem,W,v,diːm,5916,C1,,,,,,20465
5001,default,W,n,dɪˈfɔːlt,5916,C1,,,,,,20465
5002,defect,W,n,dɪˈfɛkt,5916,C1,,,,,,20465
5003,defensive,W,adj,dɪˈfɛnsɪv,5916,C1,,,,,,20465
5004,deficiency,W,n,dɪˈfɪʃənsi,5916,C1,,,,,,20465
5005,deficit,W,n,ˈdɛfɪsɪt,5916,C1,,,,,,20465
5006,defy,W,v,dɪˈfaɪ,5916,C1,,,,,,20465
5007,delegate,W,n,ˈdɛlɪgɪt / ˈdɛlɪgeɪt,5916,C1,,,,,,20465
5008,delegation,W,n,ˌdɛlɪˈgeɪʃən,5916,C1,,,,,,20465
5009,delicate,W,adj,ˈdɛlɪkɪt,5916,C1,,,,,,20465
5010,demon,W,n,ˈdiːmən,5916,C1,,,,,,20465
5011,denial,W,n,dɪˈnaɪəl,5916,C1,,,,,,20465
5012,dense,W,adj,dɛns,5916,C1,,,,,,20465
5013,density,W,n,ˈdɛnsɪti,5916,C1,,,,,,20465
5014,depict,W,v,dɪˈpɪkt,5916,C1,,,,,,20465
5015,deploy,W,v,dɪˈplɔɪ,5916,C1,,,,,,20465
5016,deployment,W,n,dɪˈplɔɪmənt,5916,C1,,,,,,20465
5017,deposit,W,v,dɪˈpɒzɪt,5916,C1,,,,,,20465
5018,deprive,W,v,dɪˈpraɪv,5916,C1,,,,,,20465
5019,deputy,W,n,ˈdɛpjʊti,5916,C1,,,,,,20465
5020,descend,W,v,dɪˈsɛnd,5916,C1,,,,,,20465
5021,descent,W,n,dɪˈsɛnt,5916,C1,,,,,,20465
5022,designate,W,v,ˈdɛzɪgnɪt / ˈdɛzɪgneɪt,5916,C1,,,,,,20465
5023,desktop,W,n,ˈdɛsktɒp,5916,C1,,,,,,20465
5024,destructive,W,adj,dɪsˈtrʌktɪv,5916,C1,,,,,,20465
5025,detain,W,v,dɪˈteɪn,5916,C1,,,,,,20465
5026,detection,W,n,dɪˈtɛkʃən,5916,C1,,,,,,20465
5027,detention,W,n,dɪˈtɛnʃən,5916,C1,,,,,,20465
5028,devil,W,n,ˈdɛvl,5916,C1,,,,,,20465
5029,devise,W,v,dɪˈvaɪz,5916,C1,,,,,,20465
5030,diagnose,W,v,ˈdaɪəgnəʊz,5916,C1,,,,,,20465
5031,diagnosis,W,n,ˌdaɪəgˈnəʊsɪs,5916,C1,,,,,,20465
5032,dictate,W,v,ˈdɪkteɪt / dɪkˈteɪt,5916,C1,,,,,,20465
5033,dictator,W,n,dɪkˈteɪtə,5916,C1,,,,,,20465
5034,dignity,W,n,ˈdɪgnɪti,5916,C1,,,,,,20465
5035,dip,W,v,dɪp,5916,C1,,,,,,20465
5036,diplomat,W,n,ˈdɪpləmæt,5916,C1,,,,,,20465
5037,directory,W,n,dɪˈrɛktəri,5916,C1,,,,,,20465
5038,discard,W,v,ˈdɪskɑːd / dɪsˈkɑːd,5916,C1,,,,,,20465
5039,discharge,W,v,dɪsˈʧɑːʤ,5916,C1,,,,,,20465
5040,disclose,W,v,dɪsˈkləʊz,5916,C1,,,,,,20465
5041,disclosure,W,n,dɪsˈkləʊʒə,5916,C1,,,,,,20465
5042,discourse,W,n,dɪsˈkɔːs,5916,C1,,,,,,20465
5043,discretion,W,n,dɪsˈkrɛʃən,5916,C1,,,,,,20465
5044,dismissal,W,n,dɪsˈmɪsəl,5916,C1,,,,,,20465
5045,displace,W,v,dɪsˈpleɪs,5916,C1,,,,,,20465
5046,disposal,W,n,dɪsˈpəʊzəl,5916,C1,,,,,,20465
5047,dispose,W,v,dɪsˈpəʊz,5916,C1,,,,,,20465
5048,dispute,W,n,dɪsˈpjuːt,5916,C1,,,,,,20465
5049,dispute,W,v,dɪsˈpjuːt,5916,C1,,,,,,20465
5050,disruption,W,n,dɪsˈrʌpʃən,5916,C1,,,,,,20465
5051,dissolve,W,v,dɪˈzɒlv,5916,C1,,,,,,20465
5052,distort,W,v,dɪsˈtɔːt,5916,C1,,,,,,20465
5053,distress,W,n,dɪsˈtrɛs,5916,C1,,,,,,20465
5054,divert,W,v,daɪˈvɜːt,5916,C1,,,,,,20465
5055,divine,W,adj,dɪˈvaɪn,5916,C1,,,,,,20465
5056,doctrine,W,n,ˈdɒktrɪn,5916,C1,,,,,,20465
5057,documentation,W,n,ˌdɒkjʊmɛnˈteɪʃən,5916,C1,,,,,,20465
5058,dose,W,n,dəʊs,5916,C1,,,,,,20465
5059,drain,W,v,dreɪn,5916,C1,,,,,,20465
5060,drift,W,v,drɪft,5916,C1,,,,,,20465
5061,driving,W,adj,ˈdraɪvɪŋ,5916,C1,,,,,,20465
5062,dual,W,adj,ˈdju(ː)əl,5916,C1,,,,,,20465
5063,dub,W,v,dʌb,5916,C1,,,,,,20465
5064,dumb,W,adj,dʌm,5916,C1,,,,,,20465
5065,duo,W,n,ˈdjuːəʊ,5916,C1,,,,,,20465
5066,eager,W,adj,ˈiːgə,5916,C1,,,,,,20465
5067,earnings,W,n,ˈɜːnɪŋz,5916,C1,,,,,,20465
5068,ease,W,n,iːz,5916,C1,,,,,,20465
5069,ease,W,v,iːz,5916,C1,,,,,,20465
5070,echo,W,v,ˈɛkəʊ,5916,C1,,,,,,20465
5071,educator,W,n,ˈɛdju(ː)keɪtə,5916,C1,,,,,,20465
5072,ego,W,n,ˈɛgəʊ,5916,C1,,,,,,20465
5073,elaborate,W,adj,ɪˈlæbərɪt / ɪˈlæbəreɪt,5916,C1,,,,,,20465
5074,electoral,W,adj,ɪˈlɛktərəl,5916,C1,,,,,,20465
5075,eligible,W,adj,ˈɛlɪʤəbl,5916,C1,,,,,,20465
5076,elite,W,n,eɪˈliːt,5916,C1,,,,,,20465
5077,embark,W,v,ɪmˈbɑːk,5916,C1,,,,,,20465
5078,embarrassment,W,n,ɪmˈbærəsmənt,5916,C1,,,,,,20465
5079,embassy,W,n,ˈɛmbəsi,5916,C1,,,,,,20465
5080,embed,W,v,ɪmˈbɛd,5916,C1,,,,,,20465
5081,embody,W,v,ɪmˈbɒdi,5916,C1,,,,,,20465
5082,enact,W,v,ɪˈnækt,5916,C1,,,,,,20465
5083,encompass,W,v,ɪnˈkʌmpəs,5916,C1,,,,,,20465
5084,encouragement,W,n,ɪnˈkʌrɪʤmənt,5916,C1,,,,,,20465
5085,encouraging,W,adj,ɪnˈkʌrɪʤɪŋ,5916,C1,,,,,,20465
5086,endless,W,adj,ˈɛndlɪs,5916,C1,,,,,,20465
5087,endorse,W,v,ɪnˈdɔːs,5916,C1,,,,,,20465
5088,endorsement,W,n,ɪnˈdɔːsmənt,5916,C1,,,,,,20465
5089,enforce,W,v,ɪnˈfɔːs,5916,C1,,,,,,20465
5090,enforcement,W,n,ɪnˈfɔːsmənt,5916,C1,,,,,,20465
5091,engagement,W,n,ɪnˈgeɪʤmənt,5916,C1,,,,,,20465
5092,engaging,W,adj,ɪnˈgeɪʤɪŋ,5916,C1,,,,,,20465
5093,enquire,W,v,ɪnˈkwaɪə,5916,C1,,,,,,20465
5094,enrich,W,v,ɪnˈrɪʧ,5916,C1,,,,,,20465
5095,enterprise,W,n,ˈɛntəpraɪz,5916,C1,,,,,,20465
5096,enthusiast,W,n,ɪnˈθjuːzɪæst,5916,C1,,,,,,20465
5097,entitle,W,v,ɪnˈtaɪtl,5916,C1,,,,,,20465
5098,epidemic,W,n,ˌɛpɪˈdɛmɪk,5916,C1,,,,,,20465
5099,equality,W,n,i(ː)ˈkwɒlɪti,5916,C1,,,,,,20465
5100,equation,W,n,ɪˈkweɪʃən,5916,C1,,,,,,20465
5101,erect,W,v,ɪˈrɛkt,5916,C1,,,,,,20465
5102,escalate,W,v,ˈɛskəleɪt,5916,C1,,,,,,20465
5103,eternal,W,adj,i(ː)ˈtɜːnl,5916,C1,,,,,,20465
5104,evacuate,W,v,ɪˈvækjʊeɪt,5916,C1,,,,,,20465
5105,evoke,W,v,ɪˈvəʊk,5916,C1,,,,,,20465
5106,excellence,W,n,ˈɛksələns,5916,C1,,,,,,20465
5107,exceptional,W,adj,ɪkˈsɛpʃənl,5916,C1,,,,,,20465
5108,excess,W,adj,ɪkˈsɛs,5916,C1,,,,,,20465
5109,execute,W,v,ˈɛksɪkjuːt,5916,C1,,,,,,20465
5110,execution,W,n,ˌɛksɪˈkjuːʃən,5916,C1,,,,,,20465
5111,exile,W,n,ˈɛksaɪl,5916,C1,,,,,,20465
5112,expenditure,W,n,ɪksˈpɛndɪʧə,5916,C1,,,,,,20465
5113,expire,W,v,ɪksˈpaɪə,5916,C1,,,,,,20465
5114,explosive,W,adj,ɪksˈpləʊsɪv,5916,C1,,,,,,20465
5115,extract,W,v,ˈɛkstrækt / ɪksˈtrækt,5916,C1,,,,,,20465
5116,extremist,W,n,ɪksˈtriːmɪst,5916,C1,,,,,,20465
5117,faction,W,n,ˈfækʃən,5916,C1,,,,,,20465
5118,faculty,W,n,ˈfækəlti,5916,C1,,,,,,20465
5119,fade,W,v,feɪd,5916,C1,,,,,,20465
5120,fairness,W,n,ˈfeənɪs,5916,C1,,,,,,20465
5121,fatal,W,adj,ˈfeɪtl,5916,C1,,,,,,20465
5122,fate,W,n,feɪt,5916,C1,,,,,,20465
5123,feat,W,n,fiːt,5916,C1,,,,,,20465
5124,feeding,W,n,ˈfiːdɪŋ,5916,C1,,,,,,20465
5125,feminist,W,adj,ˈfɛmɪnɪst,5916,C1,,,,,,20465
5126,fibre,W,n,ˈfaɪbə,5916,C1,,,,,,20465
5127,filter,W,n,ˈfɪltə,5916,C1,,,,,,20465
5128,filter,W,v,ˈfɪltə,5916,C1,,,,,,20465
5129,firearm,W,n,ˈfaɪərɑːm,5916,C1,,,,,,20465
5130,fit,W,n,fɪt,5916,C1,,,,,,20465
5131,fixture,W,n,ˈfɪkstʧə,5916,C1,,,,,,20465
5132,flaw,W,n,flɔː,5916,C1,,,,,,20465
5133,flee,W,v,fliː,5916,C1,,,,,,20465
5134,fleet,W,n,fliːt,5916,C1,,,,,,20465
5135,flesh,W,n,flɛʃ,5916,C1,,,,,,20465
5136,flourish,W,v,ˈflʌrɪʃ,5916,C1,,,,,,20465
5137,fluid,W,n,ˈflu(ː)ɪd,5916,C1,,,,,,20465
5138,footage,W,n,ˈfʊtɪʤ,5916,C1,,,,,,20465
5139,foreigner,W,n,ˈfɒrɪnə,5916,C1,,,,,,20465
5140,forge,W,v,fɔːʤ,5916,C1,,,,,,20465
5141,foster,W,v,ˈfɒstə,5916,C1,,,,,,20465
5142,fragile,W,adj,ˈfræʤaɪl,5916,C1,,,,,,20465
5143,franchise,W,n,ˈfrænʧaɪz,5916,C1,,,,,,20465
5144,frustrating,W,adj,frʌsˈtreɪtɪŋ,5916,C1,,,,,,20465
5145,frustration,W,n,frʌsˈtreɪʃən,5916,C1,,,,,,20465
5146,funeral,W,n,ˈfjuːnərəl,5916,C1,,,,,,20465
5147,gambling,W,n,ˈgæmblɪŋ,5916,C1,,,,,,20465
5148,gathering,W,n,ˈgæðərɪŋ,5916,C1,,,,,,20465
5149,gaze,W,n,geɪz,5916,C1,,,,,,20465
5150,gaze,W,v,geɪz,5916,C1,,,,,,20465
5151,gear,W,n,gɪə,5916,C1,,,,,,20465
5152,generic,W,adj,ʤɪˈnɛrɪk,5916,C1,,,,,,20465
5153,genocide,W,n,ˈʤɛnəʊsaɪd,5916,C1,,,,,,20465
5154,glance,W,n,glɑːns,5916,C1,,,,,,20465
5155,glance,W,v,glɑːns,5916,C1,,,,,,20465
5156,glorious,W,adj,ˈglɔːrɪəs,5916,C1,,,,,,20465
5157,glory,W,n,ˈglɔːri,5916,C1,,,,,,20465
5158,governance,W,n,ˈgʌvənəns,5916,C1,,,,,,20465
5159,grace,W,n,greɪs,5916,C1,,,,,,20465
5160,grasp,W,v,grɑːsp,5916,C1,,,,,,20465
5161,grave,W,n,greɪv / grɑːv,5916,C1,,,,,,20465
5162,gravity,W,n,ˈgrævɪti,5916,C1,,,,,,20465
5163,grid,W,n,grɪd,5916,C1,,,,,,20465
5164,grief,W,n,griːf,5916,C1,,,,,,20465
5165,grin,W,v,grɪn,5916,C1,,,,,,20465
5166,grind,W,v,graɪnd,5916,C1,,,,,,20465
5167,grip,W,n,grɪp,5916,C1,,,,,,20465
5168,guerrilla,W,n,gəˈrɪlə,5916,C1,,,,,,20465
5169,guilt,W,n,gɪlt,5916,C1,,,,,,20465
5170,gut,W,n,gʌt,5916,C1,,,,,,20465
5171,hail,W,v,heɪl,5916,C1,,,,,,20465
5172,handful,W,n,ˈhændfʊl,5916,C1,,,,,,20465
5173,handling,W,n,ˈhændlɪŋ,5916,C1,,,,,,20465
5174,handy,W,adj,ˈhændi,5916,C1,,,,,,20465
5175,harassment,W,n,ˈhærəsmənt,5916,C1,,,,,,20465
5176,hardware,W,n,ˈhɑːdweə,5916,C1,,,,,,20465
5177,harmony,W,n,ˈhɑːməni,5916,C1,,,,,,20465
5178,harsh,W,adj,hɑːʃ,5916,C1,,,,,,20465
5179,harvest,W,n,ˈhɑːvɪst,5916,C1,,,,,,20465
5180,haunt,W,v,hɔːnt,5916,C1,,,,,,20465
5181,hazard,W,n,ˈhæzəd,5916,C1,,,,,,20465
5182,heighten,W,v,ˈhaɪtn,5916,C1,,,,,,20465
5183,heritage,W,n,ˈhɛrɪtɪʤ,5916,C1,,,,,,20465
5184,hint,W,n,hɪnt,5916,C1,,,,,,20465
5185,hint,W,v,hɪnt,5916,C1,,,,,,20465
5186,homeland,W,n,ˈhəʊmlænd,5916,C1,,,,,,20465
5187,hook,W,v,hʊk,5916,C1,,,,,,20465
5188,horizon,W,n,həˈraɪzn,5916,C1,,,,,,20465
5189,horn,W,n,hɔːn,5916,C1,,,,,,20465
5190,hostage,W,n,ˈhɒstɪʤ,5916,C1,,,,,,20465
5191,humanitarian,W,adj,hju(ː)ˌmænɪˈteərɪən,5916,C1,,,,,,20465
5192,humanity,W,n,hju(ː)ˈmænɪti,5916,C1,,,,,,20465
5193,humble,W,adj,ˈhʌmbl,5916,C1,,,,,,20465
5194,hydrogen,W,n,ˈhaɪdrɪʤən,5916,C1,,,,,,20465
5195,ideological,W,adj,ˌaɪdɪəˈlɒʤɪkəl,5916,C1,,,,,,20465
5196,ideology,W,n,ˌaɪdɪˈɒləʤi,5916,C1,,,,,,20465
5197,idiot,W,n,ˈɪdɪət,5916,C1,,,,,,20465
5198,ignorance,W,n,ˈɪgnərəns,5916,C1,,,,,,20465
5199,imagery,W,n,ˈɪmɪʤəri,5916,C1,,,,,,20465
5200,imprison,W,v,ɪmˈprɪzn,5916,C1,,,,,,20465
5201,imprisonment,W,n,ɪmˈprɪznmənt,5916,C1,,,,,,20465
5202,incidence,W,n,ˈɪnsɪdəns,5916,C1,,,,,,20465
5203,inclined,W,adj,ɪnˈklaɪnd,5916,C1,,,,,,20465
5204,incur,W,v,ɪnˈkɜː,5916,C1,,,,,,20465
5205,indigenous,W,adj,ɪnˈdɪʤɪnəs,5916,C1,,,,,,20465
5206,indulge,W,v,ɪnˈdʌlʤ,5916,C1,,,,,,20465
5207,infamous,W,adj,ˈɪnfəməs,5916,C1,,,,,,20465
5208,infant,W,n,ˈɪnfənt,5916,C1,,,,,,20465
5209,infect,W,v,ɪnˈfɛkt,5916,C1,,,,,,20465
5210,inflict,W,v,ɪnˈflɪkt,5916,C1,,,,,,20465
5211,influential,W,adj,ˌɪnflʊˈɛnʃəl,5916,C1,,,,,,20465
5212,inhibit,W,v,ɪnˈhɪbɪt,5916,C1,,,,,,20465
5213,inject,W,v,ɪnˈʤɛkt,5916,C1,,,,,,20465
5214,injection,W,n,ɪnˈʤɛkʃən,5916,C1,,,,,,20465
5215,injustice,W,n,ɪnˈʤʌstɪs,5916,C1,,,,,,20465
5216,inmate,W,n,ˈɪnmeɪt,5916,C1,,,,,,20465
5217,insertion,W,n,ɪnˈsɜːʃən,5916,C1,,,,,,20465
5218,insider,W,n,ɪnˈsaɪdə,5916,C1,,,,,,20465
5219,inspect,W,v,ɪnˈspɛkt,5916,C1,,,,,,20465
5220,inspection,W,n,ɪnˈspɛkʃən,5916,C1,,,,,,20465
5221,inspiration,W,n,ˌɪnspəˈreɪʃən,5916,C1,,,,,,20465
5222,instinct,W,n,ˈɪnstɪŋkt / ɪnˈstɪŋkt,5916,C1,,,,,,20465
5223,institutional,W,adj,ˌɪnstɪˈtjuːʃən(ə)l,5916,C1,,,,,,20465
5224,instruct,W,v,ɪnˈstrʌkt,5916,C1,,,,,,20465
5225,instrumental,W,adj,ˌɪnstrʊˈmɛntl,5916,C1,,,,,,20465
5226,intact,W,adj,ɪnˈtækt,5916,C1,,,,,,20465
5227,intake,W,n,ˈɪnteɪk,5916,C1,,,,,,20465
5228,integrity,W,n,ɪnˈtɛgrɪti,5916,C1,,,,,,20465
5229,intellectual,W,n,ˌɪntɪˈlɛktjʊəl,5916,C1,,,,,,20465
5230,intent,W,n,ɪnˈtɛnt,5916,C1,,,,,,20465
5231,interface,W,n,ˈɪntəˌfeɪs,5916,C1,,,,,,20465
5232,interference,W,n,ˌɪntəˈfɪərəns,5916,C1,,,,,,20465
5233,interim,W,adj,ˈɪntərɪm,5916,C1,,,,,,20465
5234,interior,W,adj,ɪnˈtɪərɪə,5916,C1,,,,,,20465
5235,interior,W,n,ɪnˈtɪərɪə,5916,C1,,,,,,20465
5236,intimate,W,adj,ˈɪntɪmɪt / ˈɪntɪmeɪt,5916,C1,,,,,,20465
5237,intriguing,W,adj,ɪnˈtriːgɪŋ,5916,C1,,,,,,20465
5238,invisible,W,adj,ɪnˈvɪzəbl,5916,C1,,,,,,20465
5239,invoke,W,v,ɪnˈvəʊk,5916,C1,,,,,,20465
5240,judicial,W,adj,ʤu(ː)ˈdɪʃəl,5916,C1,,,,,,20465
5241,junction,W,n,ˈʤʌŋkʃən,5916,C1,,,,,,20465
5242,jurisdiction,W,n,ˌʤʊərɪsˈdɪkʃən,5916,C1,,,,,,20465
5243,just,W,adj,ʤʌst,5916,C1,,,,,,20465
5244,kidnap,W,v,ˈkɪdnæp,5916,C1,,,,,,20465
5245,kidney,W,n,ˈkɪdni,5916,C1,,,,,,20465
5246,kingdom,W,n,ˈkɪŋdəm,5916,C1,,,,,,20465
5247,lad,W,n,læd,5916,C1,,,,,,20465
5248,landlord,W,n,ˈlænlɔːd,5916,C1,,,,,,20465
5249,landmark,W,n,ˈlændmɑːk,5916,C1,,,,,,20465
5250,lap,W,n,læp,5916,C1,,,,,,20465
5251,large-scale,W,adj,lɑːʤ-skeɪl,5916,C1,,,,,,20465
5252,laser,W,n,ˈleɪzə,5916,C1,,,,,,20465
5253,lawn,W,n,lɔːn,5916,C1,,,,,,20465
5254,lawsuit,W,n,ˈlɔːsjuːt,5916,C1,,,,,,20465
